Flow rate level,Flow rate (gpm),Mean friction factor,Reynolds number
Low,1.5,44.11494337957873,11172.916424688723
Medium,2.5,38.406364252213315,18621.527374481208
High,3.5,34.83211766477673,26070.138324273692
